id,Location,lat-lon,Area,Bed,Bath,Price
0,"Block H, Bashundhara R-A, Dhaka",,"1,600 sqft",3,3,23 Thousand
1,"Farmgate, Tejgaon, Dhaka",,900 sqft,2,2,23 Thousand
2,"Block B, Nobodoy Housing Society, Mohammadpur, Dhaka",,"1,250 sqft",3,3,22 Thousand
3,"Gulshan 1, Gulshan, Dhaka",,"2,200 sqft",3,4,78 Thousand
4,"Baridhara, Dhaka",,"2,200 sqft",3,3,77 Thousand
5,"Bashundhara R-A, Dhaka",,"3,000 sqft",4,5,52 Thousand
6,"Baridhara, Dhaka",,"2,300 sqft",3,3,78 Thousand
7,"PC Culture Housing, Mohammadpur, Dhaka",,950 sqft,2,2,16 Thousand
8,"Jigatola, Hazaribag, Dhaka",,"1,600 sqft",3,3,30 Thousand
9,"West Kazipara, Mirpur, Dhaka",,"1,150 sqft",3,3,23 Thousand
10,"Block D, Bashundhara R-A, Dhaka",,"1,300 sqft",3,3,43 Thousand
11,"Block J, Bashundhara R-A, Dhaka",,"1,250 sqft",3,3,22 Thousand
12,"Block D, Bashundhara R-A, Dhaka",,"1,300 sqft",3,3,63 Thousand
13,"Nikunja 2, Nikunja, Dhaka",,750 sqft,2,2,18 Thousand
14,"Sector 6, Uttara, Dhaka",,"1,850 sqft",3,3,42 Thousand
15,"Block D, Bashundhara R-A, Dhaka",,"1,300 sqft",3,3,38 Thousand
16,"Khilgaon, Dhaka",,"1,200 sqft",3,3,20 Thousand
17,"Block K, Baridhara, Dhaka",,"3,000 sqft",4,4,1.62 Lakh
18,"Ibrahimpur, Dhaka",,"1,050 sqft",3,3,27 Thousand
19,"Ibrahimpur, Dhaka",,"1,050 sqft",3,3,27 Thousand
20,"Sector 5, Uttara, Dhaka",,"1,400 sqft",3,2,32 Thousand
21,"PC Culture Housing, Mohammadpur, Dhaka",,"1,150 sqft",3,3,22 Thousand
22,"Block D, Bashundhara R-A, Dhaka",,"2,100 sqft",3,4,42 Thousand
23,"Nurer Chala, Badda, Dhaka",,800 sqft,2,2,18.5 Thousand
24,"Block F, Bashundhara R-A, Dhaka",,900 sqft,2,2,20 Thousand
25,"Sector 4, Uttara, Dhaka",,"1,500 sqft",3,3,35 Thousand
26,"Block D, Bashundhara R-A, Dhaka",,"1,300 sqft",3,3,65 Thousand
27,"Block D, Bashundhara R-A, Dhaka",,"1,300 sqft",3,3,42 Thousand
28,"Block D, Bashundhara R-A, Dhaka",,"1,300 sqft",3,3,43 Thousand
29,"Rajabazar, Tejgaon, Dhaka",,650 sqft,2,2,20 Thousand
30,"Baridhara, Dhaka",,"1,524 sqft",3,3,1.05 Lakh
31,"Khilgaon, Dhaka",,"1,100 sqft",3,2,20 Thousand
32,"Sector 9, Uttara, Dhaka",,"1,500 sqft",3,4,37 Thousand
33,"Gulshan 1, Gulshan, Dhaka",,"3,500 sqft",4,4,2.05 Lakh
34,"Sector 9, Uttara, Dhaka",,850 sqft,2,2,27 Thousand
35,"Sector 14, Uttara, Dhaka",,"1,400 sqft",3,4,35 Thousand
36,"Block D, Section 12, Mirpur, Dhaka",,650 sqft,2,2,10.5 Thousand
37,"Block G, Bashundhara R-A, Dhaka",,"1,750 sqft",3,4,32 Thousand
38,"Baitul Aman Housing Society, Adabor, Dhaka",,"1,200 sqft",3,2,21 Thousand
39,"Kajla, Jatra Bari, Dhaka",,800 sqft,3,2,16 Thousand
40,"Sector 11, Uttara, Dhaka",,"1,617 sqft",3,4,32 Thousand
41,"Sector 7, Uttara, Dhaka",,"1,350 sqft",3,3,30 Thousand
42,"Gulshan 2, Gulshan, Dhaka",,"1,600 sqft",3,3,52 Thousand
43,"Sector 10, Uttara, Dhaka",,"1,900 sqft",3,4,52 Thousand
44,"Block A, Sat Masjid Housing, Mohammadpur, Dhaka",,900 sqft,2,3,18 Thousand
45,"Block D, Bashundhara R-A, Dhaka",,"1,300 sqft",3,3,62 Thousand
46,"West Malibag, Malibagh, Dhaka",,950 sqft,2,2,22 Thousand
47,"Banani, Dhaka",,"2,600 sqft",3,4,78 Thousand
48,"Sector 10, Uttara, Dhaka",,"1,500 sqft",3,3,26 Thousand
49,"Block A, Bashundhara R-A, Dhaka",,"1,860 sqft",3,4,40 Thousand
50,"Banani, Dhaka",,"2,200 sqft",3,4,83 Thousand
51,"Gulshan 2, Gulshan, Dhaka",,"3,000 sqft",4,4,1.55 Lakh
52,"Gulshan 2, Gulshan, Dhaka",,"3,200 sqft",4,4,1.23 Lakh
53,"Kakrail, Dhaka",,"1,895 sqft",3,4,43 Thousand
54,"Block G, Bashundhara R-A, Dhaka",,"1,400 sqft",3,3,30 Thousand
55,"Block I, Bashundhara R-A, Dhaka",,"1,500 sqft",3,4,27 Thousand
56,"Malibagh, Dhaka",,"1,360 sqft",3,3,32 Thousand
57,"Malibagh, Dhaka",,"1,300 sqft",3,3,32 Thousand
58,"Block J, Bashundhara R-A, Dhaka",,"1,000 sqft",3,2,20 Thousand
59,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",,"1,000 sqft",3,2,20 Thousand
60,"Block F, Bashundhara R-A, Dhaka",,"1,500 sqft",3,4,33 Thousand
61,"Block F, Bashundhara R-A, Dhaka",,"1,800 sqft",3,4,32 Thousand
62,"Sector 5, Uttara, Dhaka",,"2,150 sqft",3,3,54 Thousand
63,"Block J, Bashundhara R-A, Dhaka",,"1,000 sqft",3,2,20 Thousand
64,"Sector 10, Uttara, Dhaka",,"1,500 sqft",3,3,27 Thousand
65,"Block J, Bashundhara R-A, Dhaka",,"2,000 sqft",3,3,29 Thousand
66,"Gulshan 1, Gulshan, Dhaka",,"3,680 sqft",3,4,2.10 Lakh
67,"Block D, Bashundhara R-A, Dhaka",,"1,300 sqft",3,3,63 Thousand
68,"Maghbazar, Dhaka",,"1,058 sqft",2,2,30 Thousand
69,"Block I Extension, Bashundhara R-A, Dhaka",,"2,420 sqft",3,4,48 Thousand
70,"West Kalachandpur, Kalachandpur, Dhaka",,900 sqft,2,2,18 Thousand
71,"Block D, Bashundhara R-A, Dhaka",,"1,300 sqft",3,3,43 Thousand
